Customer_ID,Age,Employment_Status,Income_USD,Credit_Score,Total_BNPL_Active_Loans,Total_BNPL_Debt_USD,Late_Payment_History,Shopping_Category_Most_Frequent,Average_Transaction_Value_USD,Default_Risk
C00057,24,Employed,70601.0,706.0,3,560,No,Electronics,412,Low
C00058,36,Employed,78906.0,642.0,1,194,No,Fashion,116,Low
C00059,27,Student,11230.0,676.0,1,158,No,Electronics,547,Low
C00060,31,Freelancer,70688.0,579.0,1,89,Yes,Home/Furniture,237,Low
C00061,37,Employed,68143.0,831.0,6,1187,No,Home/Furniture,382,Low
C00062,25,Employed,85468.0,666.0,1,116,No,Travel,691,Low
C00063,27,Unemployed,5000.0,677.0,0,0,No,Electronics,551,Low
C00064,21,Employed,94590.0,697.0,4,618,No,Electronics,663,Low
C00065,18,Employed,32526.0,752.0,3,411,No,Home/Furniture,442,Low
C00066,22,Employed,66867.0,733.0,5,106,No,Electronics,438,Low
C00067,22,Employed,56218.0,707.0,2,238,No,Travel,969,Low
C00068,34,Freelancer,105198.0,543.0,4,864,Yes,Travel,669,Low
C00069,44,Employed,70337.0,778.0,1,100,Yes,Fashion,106,Low
C00070,36,Employed,61097.0,630.0,1,101,No,Electronics,372,Low
C00071,52,Unemployed,17922.0,577.0,2,295,No,Fashion,124,Low
C00072,33,Employed,91200.0,678.0,1,65,No,Travel,1206,Low
C00073,45,Employed,69337.0,,3,292,No,Fashion,127,Low
C00074,38,Employed,108464.0,687.0,6,1314,No,Fashion,122,Low
C00075,36,Employed,64999.0,764.0,9,659,No,Home/Furniture,309,Low
C00076,38,Employed,70370.0,691.0,2,123,No,Fashion,66,Low
C00077,20,Employed,58321.0,690.0,1,249,No,Electronics,560,Low
C00078,30,Employed,67106.0,693.0,1,176,No,Electronics,588,Low
C00079,30,Employed,62896.0,745.0,8,0,No,Home/Furniture,319,Low
C00080,28,Employed,76569.0,654.0,3,679,No,Fashion,42,Low
C00081,53,Employed,53196.0,740.0,3,477,No,Groceries/Essentials,73,Low
C00082,62,Employed,121702.0,745.0,7,1436,No,Home/Furniture,559,Low
C00083,19,Employed,46460.0,702.0,1,132,No,Electronics,426,Low
C00084,34,Employed,47052.0,694.0,1,107,No,Fashion,10,Low
C00085,32,Student,11334.0,609.0,1,185,No,Fashion,99,Low
C00086,24,Freelancer,63252.0,632.0,1,141,Yes,Electronics,740,Low
C00087,42,Unemployed,8010.0,533.0,2,255,No,Fashion,160,Medium
C00088,21,Employed,90569.0,659.0,2,207,No,Electronics,297,Low
C00089,47,Freelancer,55208.0,585.0,1,148,No,Fashion,130,Low
C00090,42,Employed,34449.0,654.0,2,420,No,Fashion,74,Low
C00091,59,Student,16434.0,521.0,0,0,Yes,Fashion,50,Low
C00092,43,Employed,83785.0,655.0,2,408,No,Fashion,141,Low
C00093,24,Employed,32936.0,644.0,3,395,No,Travel,1022,Low
C00094,23,Employed,54980.0,640.0,2,397,Yes,Electronics,655,Low
C00095,24,Student,14170.0,462.0,2,387,Yes,Fashion,112,Medium
C00096,31,Employed,68432.0,792.0,1,139,No,Electronics,551,Low
C00097,45,Student,23543.0,694.0,7,971,No,Fashion,80,Medium
C00098,31,Employed,51291.0,619.0,1,185,No,Fashion,66,Low
C00099,37,Freelancer,92255.0,737.0,1,139,No,Electronics,763,Low
C00100,56,Employed,51439.0,635.0,1,236,No,Fashion,126,Low
C00101,19,Employed,62550.0,743.0,2,292,No,Fashion,156,Low
C00102,29,Student,15868.0,706.0,4,286,No,Electronics,502,Low
C00103,31,Employed,76697.0,639.0,1,68,Yes,Electronics,855,Low
C00104,33,Unemployed,5000.0,588.0,1,166,Yes,Fashion,51,Medium
C00105,64,Employed,55342.0,656.0,2,188,No,Fashion,174,Low
C00106,32,Employed,45979.0,683.0,1,109,No,Home/Furniture,285,Low
C00107,58,Student,18096.0,603.0,1,176,No,Travel,1111,Low
C00108,41,Employed,81066.0,596.0,1,134,Yes,Fashion,146,Low
C00109,21,Employed,53692.0,811.0,3,654,No,Travel,806,Low
C00110,22,Student,14805.0,641.0,2,310,No,Electronics,538,Low
C00111,47,Employed,74889.0,750.0,1,195,Yes,Fashion,67,Low
C00112,45,Employed,54550.0,660.0,1,61,No,Electronics,485,Low
C00113,55,Employed,87091.0,705.0,4,517,No,Fashion,140,Low
C00114,26,Student,19544.0,646.0,7,1405,Yes,Travel,714,High
C00115,54,Employed,52537.0,699.0,2,290,No,Home/Furniture,383,Low
C00116,46,Student,19179.0,558.0,0,0,No,Fashion,143,Low
C00117,20,Employed,60956.0,578.0,1,126,Yes,Electronics,594,Low
C00118,32,Freelancer,67617.0,644.0,4,1063,No,Home/Furniture,445,Low
C00119,24,Unemployed,15384.0,645.0,7,450,Yes,Fashion,74,Medium
C00120,23,Employed,63072.0,758.0,4,380,No,Travel,631,Low
C00121,28,Student,20120.0,599.0,2,490,No,Electronics,470,Low
C00122,30,Freelancer,63099.0,651.0,1,102,No,Home/Furniture,448,Low
C00123,18,Unemployed,5000.0,558.0,1,117,Yes,Electronics,545,Medium
C00124,25,Employed,38393.0,687.0,2,381,No,Home/Furniture,605,Low
C00125,34,Student,14791.0,677.0,1,89,No,Groceries/Essentials,38,Low
C00126,21,Employed,54619.0,629.0,1,204,Yes,Home/Furniture,422,Low
C00127,19,Student,15669.0,523.0,2,456,No,Fashion,89,Low
C00128,49,Student,11151.0,520.0,1,147,Yes,Home/Furniture,417,Low
C00129,25,Freelancer,101925.0,672.0,2,454,Yes,Electronics,346,Low
C00130,20,Employed,79164.0,686.0,1,143,No,Home/Furniture,387,Low
C00131,19,Unemployed,17688.0,487.0,1,163,Yes,Electronics,237,Low
C00132,53,Employed,34104.0,660.0,1,170,No,Fashion,101,Low
C00133,36,Employed,54830.0,730.0,4,463,No,Home/Furniture,365,Low
C00134,40,Employed,94429.0,697.0,4,889,No,Travel,778,Low
C00135,53,Student,17674.0,635.0,1,185,Yes,Fashion,78,Low
C00136,44,Employed,55930.0,703.0,1,172,No,Fashion,113,Low
C00137,45,Employed,61526.0,723.0,4,648,No,Travel,869,Low
C00138,18,Employed,63189.0,660.0,1,119,No,Fashion,58,Low
C00139,44,Freelancer,74197.0,683.0,2,205,No,Fashion,154,Low
C00140,49,Employed,54624.0,665.0,5,1061,No,Home/Furniture,231,Low
C00141,46,Employed,87355.0,790.0,2,401,No,Fashion,93,Low
C00142,61,Employed,121899.0,631.0,3,436,Yes,Electronics,610,Low
C00143,50,Student,6654.0,479.0,3,718,Yes,Fashion,119,High
C00144,59,Student,15794.0,723.0,2,60,No,Home/Furniture,389,Low
C00145,27,Student,9839.0,621.0,1,141,Yes,Electronics,422,Low
C00146,20,Freelancer,38332.0,764.0,1,81,No,Fashion,97,Low
C00147,31,Employed,51375.0,674.0,1,165,No,Fashion,135,Low
C00148,29,Student,13212.0,551.0,2,329,Yes,Home/Furniture,351,Medium
C00149,42,Employed,83584.0,680.0,2,230,No,Home/Furniture,410,Low
C00150,42,Employed,51312.0,668.0,5,589,Yes,Electronics,299,Medium
C00151,26,Employed,74171.0,756.0,4,541,No,Electronics,471,Low
C00152,18,Employed,61775.0,717.0,1,197,No,Home/Furniture,647,Low
C00153,26,Freelancer,25330.0,693.0,0,0,No,Groceries/Essentials,82,Low
C00154,21,Student,5000.0,642.0,4,649,No,Home/Furniture,319,High
C00155,22,Employed,59958.0,616.0,0,0,No,Fashion,66,Low
C00156,29,Employed,99736.0,740.0,0,0,No,Electronics,585,Low
C00157,53,Employed,58060.0,806.0,1,164,No,Fashion,141,Low
C00158,63,Employed,69255.0,780.0,2,292,Yes,Fashion,39,Low
C00159,64,Freelancer,32483.0,632.0,4,589,Yes,Travel,509,Low
C00160,25,Freelancer,59504.0,717.0,2,249,Yes,Groceries/Essentials,85,Low
C00161,60,Freelancer,43644.0,766.0,3,383,No,Fashion,74,Low
C00162,22,Employed,69001.0,614.0,3,372,Yes,Fashion,63,Low
C00163,22,Employed,59054.0,656.0,1,56,Yes,Home/Furniture,416,Low
C00164,33,Employed,69396.0,710.0,4,266,No,Electronics,378,Low
C00165,34,Employed,60212.0,708.0,1,153,No,Fashion,68,Low
C00166,41,Employed,53587.0,746.0,1,127,Yes,Home/Furniture,227,Low
C00167,22,Employed,72513.0,647.0,0,0,No,Electronics,181,Low
C00168,57,Employed,69716.0,645.0,2,387,No,Fashion,166,Low
C00169,32,Student,19511.0,558.0,0,0,No,Travel,840,Low
C00170,35,Freelancer,40979.0,677.0,3,375,No,Electronics,496,Low
C00171,34,Freelancer,39793.0,610.0,4,614,No,Fashion,68,Low
C00172,26,Freelancer,75163.0,594.0,2,196,No,Fashion,112,Low
C00173,42,Student,,650.0,0,0,No,Groceries/Essentials,73,Low
C00174,23,Employed,62433.0,695.0,4,596,Yes,Fashion,77,Low
C00175,33,Employed,78723.0,632.0,2,502,Yes,Electronics,215,Low
C00176,19,Employed,94071.0,603.0,2,215,No,Home/Furniture,283,Low
C00177,19,Employed,105039.0,719.0,1,76,No,Travel,807,Low
C00178,22,Employed,45062.0,649.0,2,262,No,Electronics,671,Low
C00179,50,Employed,73897.0,640.0,3,170,Yes,Electronics,472,Low
C00180,48,Employed,55571.0,709.0,1,94,No,Fashion,144,Low
C00181,29,Student,18896.0,663.0,5,480,No,Electronics,474,Low
C00182,61,Employed,91383.0,742.0,1,110,Yes,Fashion,153,Low
C00183,60,Unemployed,33377.0,,1,200,Yes,Fashion,47,Low
C00184,31,Employed,40239.0,676.0,3,676,No,Fashion,60,Low
C00185,63,Student,16648.0,505.0,5,1027,Yes,Electronics,494,High
C00186,22,Employed,55349.0,654.0,2,382,No,Fashion,208,Low
C00187,18,Employed,56782.0,671.0,1,88,No,Home/Furniture,424,Low
C00188,58,Employed,66363.0,745.0,1,82,No,Electronics,649,Low
C00189,27,Student,16922.0,617.0,3,346,Yes,Fashion,162,Low
C00190,51,Employed,53377.0,723.0,1,151,No,Electronics,744,Low
C00191,20,Employed,33559.0,699.0,0,0,No,Groceries/Essentials,54,Low
C00192,24,Freelancer,60579.0,776.0,2,531,No,Fashion,89,Low
C00193,27,Employed,82129.0,615.0,5,764,Yes,Fashion,42,Low
C00194,55,Employed,88180.0,640.0,5,618,Yes,Home/Furniture,663,Low
C00195,21,Employed,78111.0,724.0,1,167,No,Travel,937,Low
C00196,54,Student,17189.0,621.0,1,145,Yes,Home/Furniture,482,Low
C00197,58,Employed,57085.0,744.0,0,0,Yes,Travel,732,Low
C00198,41,Freelancer,63008.0,696.0,2,131,No,Travel,1048,Low
C00199,39,Student,18052.0,594.0,1,138,Yes,Fashion,57,Low
C00200,32,Employed,63700.0,619.0,2,443,No,Home/Furniture,507,Low
C00201,44,Employed,47616.0,685.0,3,376,No,Fashion,146,Low
C00202,31,Freelancer,69476.0,704.0,1,158,No,Fashion,172,Low
C00203,32,Student,12808.0,,2,229,Yes,Electronics,355,Medium
C00204,28,Student,6115.0,665.0,1,131,No,Travel,767,Low
C00205,46,Student,16934.0,516.0,0,0,Yes,Fashion,87,Low
C00206,39,Employed,96256.0,,3,410,No,Travel,929,Low
C00207,38,Student,15703.0,596.0,2,376,No,Electronics,963,Low
C00208,28,Employed,41844.0,608.0,2,375,No,Home/Furniture,501,Low
C00209,22,Student,14830.0,625.0,3,666,No,Electronics,300,Medium
C00210,43,Student,17245.0,766.0,1,141,No,Fashion,83,Low
C00211,29,Employed,73310.0,,2,165,Yes,Groceries/Essentials,46,Low
C00212,28,Student,10288.0,555.0,0,0,No,Electronics,585,Low
C00213,52,Freelancer,60530.0,716.0,3,297,No,Fashion,95,Low
C00214,20,Employed,82153.0,628.0,1,135,Yes,Fashion,52,Low
C00215,33,Student,16536.0,596.0,1,106,Yes,Home/Furniture,499,Low
C00216,49,Employed,64625.0,737.0,4,273,No,Travel,846,Low
C00217,24,Employed,50939.0,783.0,4,418,No,Travel,983,Low
C00218,38,Employed,72645.0,692.0,3,265,No,Electronics,561,Low
C00219,18,Unemployed,23448.0,621.0,5,999,Yes,Home/Furniture,345,High
C00220,41,Student,6518.0,417.0,2,471,Yes,Travel,915,High
C00221,37,Student,,636.0,2,293,No,Home/Furniture,454,Low
C00222,41,Student,23319.0,646.0,4,819,Yes,Fashion,96,Medium
C00223,40,Employed,52832.0,693.0,2,135,No,Travel,946,Low
C00224,52,Employed,67443.0,749.0,3,438,No,Fashion,89,Low
C00225,51,Freelancer,88280.0,595.0,3,277,Yes,Electronics,303,Low
C00226,44,Student,14071.0,604.0,2,212,No,Fashion,112,Low
C00227,27,Employed,56062.0,767.0,3,640,No,Fashion,111,Low
C00228,41,Employed,62173.0,730.0,1,129,No,Fashion,97,Low
C00229,36,Employed,63446.0,690.0,1,88,No,Fashion,96,Low
C00230,31,Freelancer,82241.0,594.0,3,227,Yes,Travel,735,Low
C00231,26,Employed,37762.0,728.0,3,445,No,Electronics,649,Low
C00232,42,Unemployed,15332.0,533.0,2,377,Yes,Travel,936,Medium
C00233,55,Freelancer,76530.0,679.0,1,146,No,Electronics,734,Low
C00234,54,Employed,51558.0,713.0,2,404,No,Home/Furniture,233,Low
C00235,44,Unemployed,24322.0,,3,425,Yes,Fashion,148,Medium
C00236,28,Student,10700.0,704.0,3,591,No,Electronics,505,Medium
C00237,49,Employed,79077.0,664.0,3,283,No,Electronics,657,Low
C00238,20,Employed,49966.0,661.0,4,825,Yes,Electronics,599,Low
C00239,22,Employed,68698.0,735.0,2,449,No,Electronics,562,Low
C00240,23,Employed,66290.0,765.0,1,109,No,Home/Furniture,365,Low
C00241,55,Employed,51575.0,667.0,2,316,Yes,Fashion,107,Low
C00242,23,Employed,58056.0,678.0,2,460,No,Travel,844,Low
C00243,23,Student,10795.0,712.0,2,420,No,Home/Furniture,488,Low
C00244,20,Employed,77800.0,628.0,0,0,No,Travel,1228,Low
C00245,18,Employed,101607.0,779.0,2,339,No,Travel,566,Low
C00246,39,Employed,54901.0,675.0,3,430,No,Fashion,139,Low
C00247,29,Unemployed,15810.0,549.0,2,416,No,Electronics,620,Low
C00248,46,Freelancer,48573.0,572.0,1,113,Yes,Electronics,482,Low
C00249,42,Student,16061.0,617.0,2,278,No,Fashion,120,Low
C00250,41,Student,23583.0,646.0,1,193,Yes,Fashion,106,Low
C00251,28,Employed,88389.0,699.0,3,326,No,Fashion,156,Low
C00252,21,Freelancer,23429.0,725.0,2,385,No,Electronics,749,Low
C00253,45,Freelancer,,721.0,0,0,No,Groceries/Essentials,65,Low
C00254,39,Student,17476.0,527.0,3,315,No,Travel,479,Low
C00255,19,Employed,23334.0,637.0,1,107,Yes,Fashion,17,Low
C00256,41,Employed,110336.0,635.0,1,181,No,Electronics,423,Low
C00257,33,Student,7746.0,463.0,1,146,Yes,Electronics,163,Low
C00258,36,Student,11821.0,604.0,2,240,No,Home/Furniture,395,Low
C00259,24,Employed,91736.0,742.0,1,74,No,Travel,703,Low
C00260,36,Employed,74099.0,739.0,5,1066,No,Travel,596,Low
C00261,29,Employed,66751.0,692.0,2,304,No,Fashion,141,Low
C00262,52,Employed,77764.0,731.0,0,0,No,Home/Furniture,407,Low
C00263,31,Student,10505.0,,4,486,No,Home/Furniture,273,Medium
C00264,20,Employed,14589.0,,2,301,No,Electronics,457,Low
C00265,42,Employed,67695.0,850.0,1,130,No,Electronics,647,Low
C00266,26,Employed,60769.0,738.0,1,164,Yes,Electronics,732,Low
C00267,22,Employed,107535.0,768.0,3,643,No,Groceries/Essentials,82,Low
C00268,26,Employed,51517.0,650.0,0,0,No,Travel,874,Low
C00269,18,Student,10550.0,571.0,5,574,No,Fashion,118,Medium
C00270,28,Employed,101265.0,716.0,0,0,No,Electronics,567,Low
C00271,22,Employed,55961.0,706.0,2,121,No,Electronics,491,Low
C00272,40,Employed,55649.0,785.0,0,0,No,Electronics,353,Low
C00273,41,Employed,87873.0,664.0,1,149,No,Home/Furniture,410,Low
C00274,46,Student,13388.0,709.0,1,164,No,Fashion,112,Low
C00275,57,Student,16352.0,500.0,0,0,Yes,Home/Furniture,353,Low
C00276,31,Student,13391.0,535.0,3,641,Yes,Electronics,661,High
C00277,45,Employed,94696.0,766.0,3,818,No,Electronics,783,Low
C00278,37,Employed,71200.0,788.0,3,315,No,Home/Furniture,242,Low
C00279,19,Employed,60013.0,621.0,6,1169,Yes,Home/Furniture,316,Medium
C00280,53,Employed,105277.0,739.0,4,673,No,Electronics,468,Low
C00281,37,Employed,23222.0,817.0,3,574,No,Electronics,655,Low
C00282,34,Freelancer,21503.0,677.0,1,167,No,Fashion,165,Low
C00283,55,Employed,64531.0,704.0,3,247,No,Home/Furniture,478,Low
C00284,44,Freelancer,5000.0,710.0,2,350,No,Home/Furniture,404,Medium
C00285,20,Employed,75378.0,808.0,1,175,No,Home/Furniture,220,Low
C00286,18,Employed,111180.0,668.0,0,0,No,Fashion,86,Low
C00287,19,Freelancer,51998.0,588.0,1,190,No,Home/Furniture,360,Low
C00288,36,Employed,68930.0,641.0,2,380,No,Electronics,509,Low
C00289,28,Employed,116518.0,748.0,4,809,No,Groceries/Essentials,49,Low
C00290,31,Employed,109161.0,718.0,1,72,No,Fashion,173,Low
C00291,23,Employed,,657.0,4,876,No,Fashion,69,Low
C00292,26,Employed,40212.0,791.0,1,74,No,Electronics,395,Low
C00293,20,Employed,77761.0,727.0,2,452,No,Home/Furniture,510,Low
C00294,57,Employed,59767.0,816.0,4,743,No,Fashion,129,Low
C00295,32,Employed,69612.0,726.0,1,191,No,Fashion,108,Low
C00296,20,Employed,81758.0,,2,391,No,Electronics,562,Low
C00297,19,Employed,85122.0,693.0,4,332,No,Fashion,60,Low
C00298,32,Student,13552.0,606.0,1,150,No,Home/Furniture,431,Low
C00299,23,Employed,106489.0,746.0,0,0,No,Fashion,123,Low
C00300,40,Employed,59295.0,808.0,2,228,No,Fashion,10,Low
C00301,31,Employed,95809.0,,3,436,No,Fashion,76,Low
C00302,33,Freelancer,34039.0,592.0,1,138,No,Fashion,104,Low
C00303,18,Freelancer,59513.0,657.0,3,481,No,Fashion,163,Low
C00304,18,Employed,75677.0,725.0,2,352,No,Home/Furniture,353,Low
C00305,18,Employed,73841.0,712.0,3,400,No,Home/Furniture,371,Low
C00306,20,Employed,51573.0,738.0,2,408,No,Fashion,85,Low
C00307,18,Employed,53893.0,769.0,3,605,No,Home/Furniture,374,Low
C00308,54,Student,10734.0,620.0,1,134,Yes,Fashion,108,Low
C00309,37,Employed,32271.0,708.0,1,212,No,Home/Furniture,432,Low
C00310,33,Student,21888.0,579.0,1,164,Yes,Groceries/Essentials,41,Low
C00311,22,Unemployed,5000.0,505.0,2,292,No,Travel,1243,High
C00312,23,Freelancer,44902.0,608.0,2,331,No,Fashion,123,Low
C00313,33,Employed,76980.0,720.0,2,268,No,Fashion,116,Low
C00314,27,Employed,59875.0,622.0,8,1344,No,Electronics,469,Medium
C00315,31,Freelancer,31804.0,750.0,0,0,Yes,Electronics,725,Low
C00316,34,Student,14190.0,639.0,0,0,Yes,Electronics,391,Low
C00317,21,Employed,,706.0,0,0,No,Electronics,673,Low
C00318,46,Freelancer,51840.0,654.0,1,103,No,Electronics,217,Low
C00319,31,Employed,80620.0,639.0,2,223,Yes,Fashion,153,Low
C00320,19,Employed,48492.0,778.0,3,174,No,Fashion,120,Low
C00321,39,Employed,70496.0,778.0,3,369,No,Fashion,62,Low
C00322,22,Employed,96571.0,610.0,1,118,No,Fashion,59,Low
C00323,46,Freelancer,91304.0,604.0,0,0,Yes,Electronics,562,Low
C00324,30,Employed,58763.0,739.0,2,282,Yes,Electronics,595,Low
C00325,59,Employed,63448.0,,3,664,No,Fashion,79,Low
C00326,21,Freelancer,58433.0,713.0,2,257,No,Fashion,108,Low
C00327,19,Employed,109350.0,660.0,2,268,No,Fashion,27,Low
C00328,18,Freelancer,88566.0,643.0,2,112,No,Electronics,703,Low
C00329,28,Freelancer,26808.0,561.0,2,289,No,Home/Furniture,387,Low
C00330,64,Student,21653.0,610.0,7,873,No,Electronics,333,Medium
C00331,58,Employed,78878.0,754.0,1,166,No,Fashion,113,Low
C00332,38,Employed,58883.0,632.0,2,421,Yes,Fashion,106,Low
C00333,37,Freelancer,,704.0,3,353,No,Electronics,394,Low
C00334,24,Employed,35708.0,593.0,2,307,Yes,Fashion,132,Low
C00335,37,Freelancer,65606.0,667.0,1,178,No,Fashion,205,Low
C00336,24,Freelancer,60672.0,712.0,3,454,No,Home/Furniture,219,Low
C00337,23,Employed,96343.0,704.0,2,344,No,Home/Furniture,314,Low
C00338,49,Student,9894.0,636.0,3,370,No,Fashion,65,Low
C00339,19,Employed,74452.0,772.0,2,381,No,Electronics,516,Low
C00340,35,Employed,75405.0,716.0,1,115,No,Fashion,116,Low
C00341,18,Employed,89688.0,725.0,5,791,Yes,Fashion,157,Low
C00342,25,Freelancer,21021.0,703.0,0,0,No,Fashion,132,Low
C00343,38,Employed,63615.0,744.0,1,185,No,Electronics,274,Low
C00344,38,Student,19949.0,696.0,1,164,No,Fashion,84,Low
C00345,46,Freelancer,63219.0,689.0,0,0,Yes,Electronics,515,Low
C00346,56,Employed,88670.0,801.0,3,337,No,Electronics,518,Low
C00347,36,Employed,44830.0,711.0,2,393,No,Fashion,90,Low
C00348,43,Employed,65496.0,691.0,2,206,No,Fashion,106,Low
C00349,27,Employed,65722.0,666.0,4,357,No,Electronics,614,Low
C00350,30,Employed,40868.0,698.0,2,371,No,Fashion,127,Low
C00351,20,Student,15421.0,660.0,1,128,No,Fashion,92,Low
C00352,26,Employed,63323.0,668.0,3,373,No,Electronics,768,Low
C00353,18,Employed,51655.0,713.0,2,115,No,Travel,724,Low
C00354,42,Freelancer,60159.0,679.0,3,542,No,Fashion,171,Low
C00355,33,Employed,78710.0,644.0,3,572,No,Electronics,499,Low
C00356,26,Employed,66256.0,658.0,1,147,No,Groceries/Essentials,81,Low
C00357,19,Student,14213.0,703.0,3,230,No,Home/Furniture,324,Low
C00358,37,Employed,67584.0,726.0,1,194,No,Electronics,410,Low
C00359,36,Employed,114274.0,658.0,1,177,No,Fashion,65,Low
C00360,19,Employed,67389.0,684.0,1,226,No,Home/Furniture,345,Low
C00361,44,Employed,49576.0,757.0,3,582,No,Travel,387,Low
C00362,18,Employed,96567.0,673.0,6,235,No,Electronics,495,Low
C00363,60,Student,16501.0,721.0,7,698,No,Home/Furniture,518,Medium
C00364,31,Employed,72480.0,742.0,2,312,No,Electronics,548,Low
C00365,20,Employed,65975.0,644.0,3,335,No,Home/Furniture,261,Low
C00366,19,Student,21396.0,578.0,8,713,No,Electronics,600,Medium
C00367,62,Employed,29417.0,659.0,1,229,No,Home/Furniture,207,Low
C00368,21,Freelancer,66833.0,669.0,6,1012,No,Home/Furniture,429,Low
C00369,18,Employed,52798.0,682.0,3,305,No,Electronics,415,Low
C00370,40,Freelancer,69876.0,569.0,1,179,No,Groceries/Essentials,55,Low
C00371,23,Student,5000.0,691.0,5,556,No,Fashion,68,High
C00372,32,Employed,75251.0,782.0,0,0,No,Fashion,168,Low
C00373,18,Employed,74754.0,647.0,4,735,Yes,Electronics,358,Medium
C00374,22,Employed,77542.0,734.0,1,75,No,Electronics,387,Low
C00375,21,Student,12757.0,624.0,0,0,Yes,Electronics,711,Low
C00376,44,Student,16024.0,564.0,0,0,No,Fashion,82,Low
C00377,47,Freelancer,87486.0,781.0,0,0,No,Travel,869,Low
C00378,22,Employed,101542.0,655.0,4,220,No,Electronics,536,Low
C00379,39,Freelancer,71971.0,690.0,3,832,Yes,Fashion,71,Low
C00380,18,Freelancer,52316.0,614.0,1,125,No,Travel,1012,Low
